notation	description
CC 7000 - CC 7267	Ethik
CC 7300 - CC 7950	Rechts-, Gesellschafts- und Staatsphilosophie
CC 8000 - CC 8300	Geschichts- und Kulturphilosophie
CC 8400	Medienphilosophie
CC 8480 - CC 8500	Religionsphilosophie
CC 8600	Feministische Philosophie; Geschlechterforschung (Gender Studies)
CC 8700	Technikphilosophie
CD - CK	Geschichte der Philosophie
CD 1000 - CD 1040	Allgemeine bzw. Weltgeschichte der Philosophie
CD 1100 - CI 8000	Geschichte der Philosophie des Abendlandes von Antike bis 20. Jahrhundert
CI 8500 - CI 9900	Geschichte der Philosophie außerhalb der abendländischen Tradition
CK 1000 - CK 7080	Geschichte der Philosophie des Abendlandes des 21. Jahrhundert
CL - CZ	Psychologie
CL 1000	Zeitschriften
CM	Allgemeines. Geschichte und Methodik
CM 1000	Allgemeine und einführende Werke
CM 1100	Klassiker und Vorläufer der Psychologie
CM 2000	Geschichte der Psychologie
CM 2200	Methodik und Wissenschaftstheorie der Psychologie
CM 2500	Mathematische Psychologie
CM 3000	Methoden der Psychologie (Testtheorie, Skalierung, Faktorenanalyse u.ä.)
CM 3200	Messtheorie und Skalierung
CM 3300	Evaluation
CM 3400	Metaanalyse
CM 3500	Experimentelle Methodik (Praktika, Stichprobentheorie, Versuchsplanung)
CM 3600	Qualitative Methode
CM 4000	Statistik
CM 4100	Multivariate Analyse
CM 4200	Veränderungsmessung, Fallstudie, Zeitreihenanalyse
CM 4300	Nichtparametrisches Verfahren
CM 4400	Datenanalyse
CM 5000	Informationstheorie, Kybernetik
CM 5500	Entscheidungstheorie, Spieltheorie
CM 6000 - CM 6100	Psychologieunterricht
CM 6500	Berufsfragen, Standesfragen
CN	Nachschlagewerke
CN 1500	Sachwörterbücher
CN 2500	Kataloge, Bibliografisches
CN 3000	Kongressberichte
CN 3500	Biografien, Gedenkreden
CN 4000	Festschriften
CN 4500	Gesammelte Abhandlungen eines Verfassers
