notation	description
LB 33800	Historische und philologische Methoden
LB 33820	Autoethnographie
LB 33900	Digitale Methoden und Umgang mit Forschungsdaten
LB 33999	Sonstiges und einzelne Techniken
LB 34000 - LB 37730	Ethnologie in der Praxis
LB 34000 - LB 34730	Ethnomuseologie
LB 35000 - LB 35730	Denkmalpflege
LB 36000 - LB 36730	Angewandte Ethnologie
LB 37000 - LB 37730	Berufsfelder
LB 37800	Populäre Ethnologie, Ethnologie und Öffentlichkeit
LB 39000 - LB 57730	Soziale und politische Organisation und Praxis
LB 39000 - LB 39730	Allgemeines, Theoretisches, Zusammenfassendes
LB 40000 - LB 40730	Gesellschaft allgemein, Alltag und Lebensweise
LB 41000 - LB 41730	Familie und Verwandtschaft
LB 42000 - LB 42730	Soziale Gruppen und Netzwerke
LB 43000 - LB 43880	Lebenszyklus
LB 44000 - LB 44730	Ethnologische Geschlechterforschung
LB 45000 - LB 45730	Berufsgruppen, Soziale Hierachie, Stratifikation
LB 46000 - LB 46730	Religiöse Gruppen und Bewegungen
LB 47000 - LB 47730	Vereine und Verbände, soziale Bewegungen
LB 48000 - LB 48730	Ethnische Gruppen, Ethnizität, multikulturelle Gesellschaft
LB 49000 - LB 49730	Politische Führung, politische Institutionen und politische Praxis
LB 50000 - LB 50730	Sklaverei, Leibeigenschaft, Hörigkeit
LB 51000 - LB 51730	Konflikte, Krieg, Frieden
LB 52000 - LB 52730	Staat und Nation
LB 52800	Globalisierung
LB 53000 - LB 53730	Kolonialismus
LB 54000 - LB 54730	Mission
LB 55000 - LB 55730	Entwicklungsethnologie, Modernisierung
LB 56000 - LB 56730	Migration und Mobilität
LB 57000 - LB 57730	Kulturkontakt, Reisen, Tourismus
LB 58000 - LB 63730	Rituale und Bräuche
LB 58000 - LB 58730	Rituale und Bräuche allgemein, Ritualtheorie
LB 59000 - LB 59730	Rituale und Bräuche im Jahreszyklus
LB 60000 - LB 60730	Rituale und Bräuche im Lebenszyklus
LB 61000 - LB 61730	Spiel und Sport, Unterhaltung
LB 62000 - LB 62730	Feste, öffentliche Zeremonien
LB 63000 - LB 63730	Tradition und kollektive Erinnerung
LB 65000 - LB 74730	Raum und Ort: Hausforschung, Gemeinde- und Stadtethnologie
LB 65000 - LB 65730	Allgemeines, Theoretisches, Zusammenfassendes
LB 66000 - LB 66730	Wohnen und Wirtschaften
LB 67000 - LB 67730	Bau- und Wohnformen
LB 68000 - LB 68730	Wirtschaftsgebäude und Industrieanlagen
LB 69000 - LB 69730	Sakralbauten und  Sakralanlagen
LB 70000 - LB 70730	Sonstige Bauten und öffentlicher Raum
LB 71000 - LB 71730	Siedlungsformen und Siedlungsprozesse
LB 72000 - LB 72730	Einzelne Dörfer, Gemeinden und Städte
LB 73000 - LB 73730	Stadtforschung
LB 74000 - LB 74730	Region und Landschaft; Grenzgebiet und Frontier
LB 75000 - LB 81695	Rechtsethnologie
LB 75000 - LB 75730	Recht - Allgemeines, Theoretisches, Zusammenfassendes
LB 76000 - LB 76730	Quellen des Rechts
LB 77000 - LB 77730	Traditionelle Rechtssysteme
LB 78000 - LB 78730	Kodifizierte Rechtssysteme
LB 79000 - LB 79730	Einzelne Rechte, Rechtssymbole und Rechtsbräuche
LB 80000 - LB 80730	Rechtsverfehlungen, Kriminalität, Sanktionen
LB 81000 - LB 81730	Religiöse Rechtsvorstellungen und -bräuche
LB 85000 - LC 28730	Materielle Kultur und Wirtschaftsethnologie
LB 85000 - LB 85730	Wirtschaft - Allgemeines, Theoretisches, Zusammenfassendes
LB 86000 - LB 99000	Produktion und Herstellungsverfahren
LC 10000 - LC 18000	Materielle Kultur und Konsum
LC 20000 - LC 28730	Formen der Wirtschaft
LC 29000 - LC 43695	Religionsethnologie
LC 29000 - LC 29730	Religiöse Praktiken und Vorstellungen - Einzelstudien
LC 30000 - LC 30730	Religion - Allgemeines, Theoretisches, Zusammenfassendes
LC 31000 - LC 31730	Totenrituale und Jenseitsvorstellungen
LC 32000 - LC 32730	Mythologie und Kosmologie
LC 33000 - LC 33730	Magisch-religiöse Praktiken, Geister und Besessenheit
LC 34000 - LC 34730	Totemismus, Ahnenkulte
LC 35000 - LC 35730	Gottesvorstellung und Gottheiten; Mythologie; Feministische Mythologie; Geschlechterforschung (Gender Studies)
LC 36000 - LC 36730	Heiligenverehrung
LC 37000 - LC 37730	Wallfahrten und Prozessionen
LC 38000 - LC 38730	Volksfrömmigkeit
LC 39000 - LC 39730	Christliche Objekte, Objekte der Volksfrömmigkeit
LC 40000 - LC 40730	Magisch-religiöse Objekte
LC 41000 - LC 41730	Magisch-religiöse Spezialistinnen und Spezialisten
LC 42000 - LC 42730	Schamanismus
LC 43000 - LC 43730	Magisch-religiöse Orte
LC 50000 - LC 96730	Kunst und Wissen
LC 50000 - LC 59730	Wissen und Wahrnehmung
LC 60000 - LC 84730	Sprache und Literatur
LC 85000 - LC 94730	Theater-, Musik- und Kunstethnologie
LC 95000 - LC 96730	Visuelle Anthropologie
LD - LG	Klassische Archäologie
LD 1000	Zeitschriften und zeitschriftenartige Reihen
LE 1100 - LE 3399	Handbücher und Sammelwerke
LE 1100 - LE 1150	Handbücher
LE 1200	Lexika
LE 1250	Bibliografien und Bibliothekskataloge
LE 1300	Forschungsberichte
LE 1800 - LE 1851	Kongressberichte
LE 2550	Sammelwerke
LE 2600 - LE 2630	Programme
LE 2700	Gesammelte Schriften
LE 3000 - LE 3399	Festschriften und Gedenkschriften
LE 3500 - LE 4399	Systematik und Geschichte des Faches
LE 3500	Einführungen, Abrisse, Grundrisse usw.
LE 3550	Theorie und Methode des Faches
LE 3600	Ausgrabungswesen
LE 3650	Museumswesen, Konservierung der Denkmäler
LE 3690	Fälschungen
LE 3700	Naturwissenschaftlich-technische Forschungsmethoden und Hilfsmittel
LE 3750	Forschungsorganisation
LE 3800	Geschichte des Faches und seiner Institutionen
LE 4110 - LE 4399	Biografien, Briefe
LE 4500 - LE 7399	Nachbarwissenschaften
LE 4500 - LE 4896	Sudan-Archäologie
LE 5000 - LE 6399	Ägypten und Orient
LE 6400	Hellenistische Kulturen des Orients
LE 6500 - LE 7399	Nachantike Kulturen (Mitteleuropa und eurasischer Raum)
LE 7500 - LE 8399	Vorgeschichte Griechenlands
LE 7500	Gesamtdarstellungen
LE 7600	Älteste Kulturen
LE 8000 - LE 8399	Die kretisch-mykenische Kultur
LE 8500 - LE 9399	Vorgeschichte Italiens und Etruskologie
LE 8500	Gesamtdarstellungen
LE 8600	Vorgeschichtliche Kulturen
LE 9000 - LE 9399	Die etruskische Kultur
LF 1100 - LF 4300	Topografie und Grabungspublikationen
LF 1100	Kartenwerke und Atlanten
LF 1150	Antike Geografie und Topografie
LF 1200	Nachantike Reisebeschreibungen
LF 1250 - LF 1405	Historische Landeskunde und regionale Topografie
LF 1510 - LF 4305	Ausgrabungspublikationen und topografische Literatur
LF 4400 - LF 9399	Museen - Sammlungen - Ausstellungen
LF 4400	Zusammenfassende Kataloge. Museen und Sammlungen einzelner Länder u.ä.
LF 4480 - LF 7700	Kataloge der öffentlichen Museen
LF 8000 - LF 8399	Kataloge von Privatsammlungen
LF 8400 - LF 8880	Kataloge von Ausstellungen
LF 9110 - LF 9399	Auktionskataloge und Verkaufskataloge
LG	Antike Kunst und Kultur
LG 1150 - LG 1450	Allgemeines
LG 1500 - LG 1750	Spezielle Themen
LG 1800 - LG 2200	Architektur
LG 2300 - LG 2900	Plastik und Relief
LG 3000 - LG 3200	Porträt
LG 3500 - LG 3790	Malerei und Mosaik
LG 4000 - LG 4500	Vasenmalerei und Keramik
LG 5000 - LG 5700	Kleinkunst
LG 6000 - LG 6300	Numismatik
LG 6600 - LG 6800	Mythos und Religion
LG 7100 - LG 8300	Kulturgeschichte, Realien und Natur
LG 9000 - LG 9300	Nachleben und Wirkung der antiken Kunst
LD,LH - LO	Kunstgeschichte
LD 3000	Zeitschriften Kunstgeschichte
LD 8000	Zeitschriften Architektur und Baukunst
LH 10015 - LH 90260	Allgemeines. Allgemeine Kunstgeschichte
LH 10015 - LH 10960	Kunstführer, Kunstreiseführer
LH 11800	Kongressberichte
LH 12990 - LH 29910	Lexika, Bibliografien, Bibliothekskataloge
LH 29912 - LH 39910	Museumskunde. Museumskataloge
LH 39930 - LH 59910	Ausstellungswesen, Ausstellungskataloge
LH 60000 - LH 60100	Bildende Kunst unter wirtschaftlichem Aspekt
LH 60140 - LH 60180	Bildende Kunst und Recht
LH 60190 - LH 60250	Bildende Kunst in Staat und Gesellschaft
LH 60300 - LH 60370	Denkmalpflege
LH 60400 - LH 60460	Kunstkennerschaft und Mäzenatentum
LH 61000 - LH 61360	Theorie und Praxis der Bildenden Kunst
LH 62000 - LH 63700	Geschichte der Kunstwissenschaft
LH 64000 - LH 64920	Allgemeine Kunstgeschichte: Quellen
LH 65000 - LH 65990	Allgemeine Kunstgeschichte: Darstellungen
LH 66000	Kunstgeografie (mehrerer Länder)
LH 67000 - LH 84995	Kunstgeschichte einzelner Gattungen der Kunst
LH 85000 - LH 85390	Porträt, Karikatur (mehrere Gattungen übergreifend)
LH 90000 - LH 90260	Theater, Feste, Tanz
LH 98000 - LH 98900	Dias-Sammlungen, Kunstpostkarten-Sammlungen
LH 98000 - LH 98350	Ordnung nach Gattungen
LH 98400 - LH 98450	Ordnung nach Themen
LH 98500 - LH 98900	Ordnung nach Ländern
LI	Künstler-Monografien
LI 10020 - LI 99800	Alphabetische Künstlerliste
LI 99900	Künstlergruppen
LI 99940 - LI 99945	Künstlerkolonien
LI 99999	Sonstige (CSN der Person)
LK - LO	Kunst nach Ländern bzw. Kontinenten
LK	Deutschland
LL 10000 - LL 34390	Österreich (Habsburger Monarchie in verschiedener territorialer Ausdehnung; Republik Österreich)
LL 35000 - LL 59000	Tschechische Republik und Slowakei
LL 60000 - LL 74000	Elsass
LL 75000 - LL 99000	Schweiz und Liechtenstein
LM	Frankreich
LN	Italien
LO 10000 - LO 36995	Holland, Belgien, Luxemburg (im folgenden als Niederlande bezeichnet)
LO 37000 - LO 49990	Spanien, Portugal
LO 50000 - LO 62990	Großbritannien, Irland
LO 63000 - LO 68990	Skandinavien
LO 69000 - LO 74990	Polen
LO 75000 - LO 80930	Russland und postsowjetischer Raum
LO 80940 - LO 80988	Baltikum (Estland, Lettland, Litauen)
LO 81000 - LO 84990	Ungarn
LO 85000 - LO 85820	Jugoslawien und Nachfolgestaaten, Albanien
LO 85830 - LO 86490	Rumänien
LO 86500 - LO 86640	Bulgarien
LO 86650 - LO 86950	Griechenland, Zypern
LO 86960 - LO 87140	Türkei
LO 87142 - LO 90189	Asien und Vorderer Orient
LO 90200 - LO 90840	Australien, Ozeanien
LO 90850 - LO 91999	Afrika
LO 92000 - LO 98940	Amerika
LD,LP - LY	Musikwissenschaft
LD 8700	Zeitschriften Musikwissenschaft
LP 10000 - LS 49950	I. Musica theoretica
LP 10000 - LP 19950	Allgemeines
LP 20300 - LP 95900	Chronologischer Teil: Musica theoretica
LQ	Geographischer Teil: Musica theoretica
LR	Sachteil: Musica theoretica (einschl. Realien mit geographischem Bezug)
LS 10000 - LS 49950	Musikalische Volks- und Völkerkunde: Musica theoretica
LS 50000 - LU 91020	II. Musica practica
LS 50000 - LS 79800	Musikalische Volks- und Völkerkunde: Musica practica
LS 80000 - LS 94508	Geographischer Teil: Musica practica
LT 11000 - LT 57908	Sachteil: Musica practica (einschl. Realien mit geographischem Bezug)
LT 58000 - LT 96000	Formalgruppen: Musica practica
LU 20300 - LU 95900	Chronologischer Teil: Musica practica (Epochenfolge: Komponistenalphabete)
LV 50000 - LX 91020	III. Tonträger
LV 50000 - LV 79800	Musikalische Volks- und Völkerkunde: Tonträger
LV 80000 - LV 94508	Geographischer Teil: Tonträger
LW 11000 - LW 57908	Sachteil: Tonträger (einschl. Realien mit geographischem Bezug)
LW 58000 - LW 96000	Formalgruppen: Tonträger
LX 20300 - LX 95900	Chronologischer Teil: Tonträger
LY 11000 - LY 95900	IV. Bildträger
LY 11000 - LY 13550	Sachteil: Bildträger
LY 20300 - LY 95900	Chronologischer Teil: Bildträger
MA - ML	Politologie
MA 1000	Zeitschriften
MB	Grundlagen und Selbstverständnis des Faches
MB 1000	Grundlegungen und Einführungen (Lehrbücher)
MB 1100 - MB 1300	Sammelwerke
MB 1500 - MB 1520	Allgemeine Bibliografien und Dokumentationen zur Politik
MB 1600 - MB 1900	Allgemeine Nachschlagewerke zur Politik, Sachlexika
MB 2000 - MB 2200	Geschichte und gegenwärtiger Stand der Politischen Wissenschaft
MB 2300 - MB 2520	Logik und Methode der politischen Wissenschaft
MB 2550 - MB 2700	Politische Bildung
MB 3000 - MB 3500	Beziehungen der Politik zu anderen Disziplinen und Bereichen. Politik und Wissenschaft
MC	Geschichte der politischen Philosophie und der Ideologien
MC 1000	Allgemeines
MC 2000 - MC 2700	Vorzeit, Alter Orient, Antike
MC 3000 - MC 3773	Christentum und Mittelalter
MC 4000 - MC 4973	Frühe Neuzeit (bis 1700)
MC 5000 - MC 5700	18. Jahrhundert
MC 6000 - MC 6900	19. und 20. Jahrhundert
MC 7000 - MC 7780	Ideologien und Massenbewegungen
MC 8000 - MC 8080	Sozialismus
MC 8100 - MC 8190	Marxismus
MC 8200 - MC 8280	Sozialdemokratie
MC 8300 - MC 8390	Kommunismus
MC 8400 - MC 8653	Abspaltungen und Neomarxismus
MC 9000 - MC 9900	Politische Philosophie und Ideologien außerhalb der westlichen Welt
MD	Politische Theorie, Grundbegriffe des Politischen
MD 1000	Politische Theorie, Allgemeines und Gesamtdarstellungen
MD 1100 - MD 1800	Konflikttheorien
MD 2000 - MD 3550	Integrationstheorien
MD 4000 - MD 4900	Staatstheorie
MD 6000 - MD 6500	Politisches Verhalten, politische Psychologie
MD 7000 - MD 7850	Politische Entscheidungslehre
MD 8000 - MD 8300	Politischer Wandel
MD 8400 - MD 8990	Politische Auseinandersetzung
ME	Politische Systeme: Allgemeines und Vergleich
ME 1000	Allgemeines. Begriff des Politischen Systems. Comparative Politics.
ME 2000 - ME 2800	Staatsformen
ME 3000 - ME 4900	Demokratie, westliches politisches System
ME 5000 - ME 5900	Politische Systeme der sozialistischen Staaten
ME 6000 - ME 6900	Politische Systeme der Entwicklungsländer
ME 8000 - ME 8900	Föderalismus
ME 9000 - ME 9800	Selbstverwaltung, Kommunalpolitik
MF	Politische Systeme: einzelne Elemente
MF 1000 - MF 1700	Öffentliche Meinung (politische Kommunikation)
MF 2000 - MF 2200	Interessenverbände, politische Gruppen
MF 2300 - MF 2950	Einzelne Verbände und politische Gruppen
MF 3000 - MF 3390	Parteien und politische Bewegungen
MF 4000 - MF 4950	Wahlen
MF 5000 - MF 5990	Parlament
MF 6000 - MF 6900	Regierung
MF 7000 - MF 7800	Verwaltung
MF 8000 - MF 8900	Rechtssprechung und andere Kontrollinstanzen
MF 9000 - MF 9900	Politische Sachgebiete
MG - MI	Politische Systeme einzelner Länder
MG	Europa, Nordamerika
MH	Asien, Naher Osten
MI	Afrika, Lateinamerika, Australien
MK	Internationale Politik
MK 1000	Allgemeines, Nachschlagewerke, Bibliografien
MK 1100	Theorie der internationalen Politik, Methode
MK 1300	Theorie der Außenpolitik
MK 1340	Geschichte der Außenpolitik
MK 1500 - MK 1560	Diplomatie
MK 1600 - MK 1750	Völkerrecht
MK 1800	Außenpolitische Willensbildung, Zusammenhang von Außen- und Innenpolitik
MK 1900	Internationale Beziehungen außerhalb der Außenpolitik
MK 2000 - MK 2350	Internationale Politik als Herrschaftssystem
MK 2400	Atomfragen, Strategie
MK 2500	Nord-Süd-Konflikt
MK 2600	Kolonialismus, Imperialismus
MK 2700	Antikolonialismus, Unabhängigkeit, Postkoloniale Studien
MK 3000 - MK 3820	Internationale Konflikte (Krieg und Frieden)
MK 4000 - MK 7900	Internationale Integration, Internationale Organisationen
MK 8000 - MK 9700	Internationale Politik, Einzelne Sachgebiete
ML	Die Außenpolitik einzelner Länder
ML 1000	Außenpolitische Probleme (weltweit)
ML 1100 - ML 7350	Außenpolitische Probleme in Europa und der westlichen Welt
ML 7500 - ML 9230	Außenpolitische Probleme in Asien
ML 9300 - ML 9398	Außenpolitische Probleme in Afrika und dem Nahen Osten
ML 9400 - ML 9450	Außenpolitische Probleme in Lateinamerika
ML 9600 - ML 9700	Außenpolitische Probleme in Australien und Ozeanien
MN - MS	Soziologie
MN 1000	Zeitschriften
MP	Handbücher und Nachschlagewerke
MP 1000	Handbücher und Lexika zur Soziologie
MP 2000	Sonderhefte und Sonderdrucke (soweit nicht fachlich zuzuordnen)
MP 3000	Bibliografien, Literaturhinweise und Abstracts (soweit nicht fachlich zuzuordnen)
MP 5000	Kongressberichte und Protokolle (soweit nicht fachlich zuzuordnen)
MP 6000	Soziologiestudium (Prüfungsordnung, Institute, Lehrstühle, Denkschriften etc.)
MP 7000	Sozialkunde (als Lehrfach)
MP 8000	Soziologie als Beruf, Soziologie der Soziologie (Förderung der Soziologie, Rolle des Sozialwissenschaftlers, Selbstkritik), Biografien
MQ	Einführung und Geschichte
MQ 1200 - MQ 1600	Einführungen und Reader
MQ 2200 - MQ 2700	Geschichte der Soziologie
MQ 3000 - MQ 4000	Einzelne Autoren
MR	Sozialwissenschaftliche Theorien und Methoden
MR 1050 - MR 1100	Wissenschaftstheorie und Erkenntnistheorie
MR 2000 - MR 2950	Methoden der Sozialforschung
MR 3000 - MR 3700	Das Verhältnis der Soziologie zu anderen Wissenschaften
MR 4000	Klassiker der Soziologie (ältere soziologische Theorie)
MR 5100 - MR 5900	Jüngere soziologische Theorie
MR 6000 - MR 6900	Psychologische Ansätze
MR 7100 - MR 7400	Kulturelle Ansätze
MS	Spezielle Soziologien
MS 1000 - MS 1060	Kleingruppen
MS 1090 - MS 1190	Gesamtgesellschaften
MS 1200 - MS 1277	Analysen einzelner Länder
MS 1280	Theorien und Probleme der Massengesellschaft
MS 1290	Sozialphilosophie (auch Theorie der Gesellschaft), Sozial- und Kulturkritik (auch Dialektik), Entfremdung
MS 1300 - MS 1480	Soziale Ungleichheit; Schichten,Klassen und Milieu
MS 1500 - MS 1560	Soziale Mobilität
MS 1600 - MS 1720	Gemeindesoziologie
MS 1750 - MS 1870	Stadtsoziologie
MS 1900 - MS 2050	Familiensoziologie
MS 2150 - MS 2500	Jugendsoziologie
MS 2600	Erwachsenensoziologie, Biografie, Lebensverlauf, Lebensverlaufsforschung
MS 2700	Alterssoziologie (Alte Menschen; Gerontologie, Rentner, Altersheim)
MS 2800 - MS 3250	Soziologische Geschlechterforschung (Gender Studies)
MS 3300 - MS 3800	Soziologie der Minoritäten und Randgruppen
MS 4000 - MS 4250	Soziologie der Demographie
MS 4350 - MS 4780	Politische Soziologie
MS 4800 - MS 5560	Wirtschafts-, Industrie- und Techniksoziologie
MS 5650 - MS 5920	Soziologie der Organisationen
MS 5950	Verkehrssoziologie
MS 6000 - MS 6320	Medizinsoziologie
MS 6350 - MS 6470	Soziale Probleme
MS 6500	Sozialpolitik, Sozialstaat
MS 6530	Soziologie der Freizeit
MS 6540	Sportsoziologie
MS 6550 - MS 6750	Religionssoziologie
MS 6800 - MS 6900	Rechtssoziologie
MS 6950 - MS 6980	Wissenssoziologie
MS 7000 - MS 7800	Pädagogische Soziologie
MS 7850 - MS 7990	Soziologie der Massenkommunikation und öffentlichen Meinung, Mediensoziologie
MS 8000 - MS 8030	Kunstsoziologie
MS 8050	Sprachsoziologie
MS 8150 - MS 8320	Militär- und Heeressoziologie
MS 8350 - MS 8450	Soziologie der Entwicklungsländer, der Entwicklungshilfe und Entwicklungszusammenarbeit
MS 8950 - MS 9000	Umweltsoziologie
MS 9050 - MS 9100	Soziographie, Raumplanung, Raumordnung
MS 9150 - MS 9200	Soziologie der Ethnopsychologie
MS 9250 - MS 9300	Soziologie der Ethnologie
MS 9350 - MS 9750	Sozial- bzw. Kultur-Anthropologie
MS 9800	Tiersoziologie
MT	Gesundheitswissenschaften
MT 00000	Zeitschriften
MT 00100 - MT 00350	Allgemeines
MT 00100	Nachschlagewerke
MT 00110	Einführungen
MT 00120	Bibliografien
MT 00130	Biografien
MT 00140	Grundlagen und Selbstverständnis der Gesundheitswissenschaften
MT 00150 - MT 00190	Geschichte der Gesundheit und der Gesundheitswissenschaften
MT 00200	Studium der Gesundheitswissenschaften
MT 00300 - MT 00320	Sammelwerke
MT 00350	Sonstige allgemeine Themen
MT 10000 - MT 19900	Gebiete in den Gesundheitswissenschaften
MT 10000 - MT 11900	Sozial-humanistische Wissenschaften
MT 12000 - MT 12900	Biomedizinische Wissenschaften
MT 13000 - MT 13900	Klinisch-medizinische Wissenschaften
MT 14000 - MT 19900	Berufsfelder in den Gesundheitswissenschaften
MT 20000 - MT 20900	Methoden der Gesundheitswissenschaften
MT 20000	Allgemeines
MT 20100	Forschung an Menschen
MT 20200	Forschungsdesign
MT 20300	Quantitative Methoden
MT 20400	Qualitative Methoden
MT 20900	Sonstige Methoden der Gesundheitswissenschaften
MT 21000 - MT 22900	Fähigkeiten in den Gesundheitswissenschaften
MT 21000	Allgemeines
MT 21100	Management von klinischen Studien
MT 21200	Management von Umfragen in den Gesundheitswissenschaften
MT 21300	Projektmanagement in den Gesundheitswissenschaften
MT 21400	Qualitätsmanagement in den Gesundheitswissenschaften
MT 21500	Datenbanken und Datenmanagement in den Gesundheitswissenschaften
MT 21600	Statistisches Programmieren in den Gesundheitswissenschaften
MT 21700	Kritisches Denken, Lesen, Argumentieren und Schreiben in den Gesundheitswissenschaften
MT 21800	Protokollentwicklung und Antragstellung in den Gesundheitswissenschaften
MT 21900	Wissenschaftliche Publikationen, Berichte und Präsentationen in den Gesundheitswissenschaften
MT 22000	Wissenstransfer in den Gesundheitswissenschaften
MT 22900	Sonstige Fähigkeiten in den Gesundheitswissenschaften
MT 23000 - MT 30000	Funktionsfähigkeit und Gesundheit im Kontext
MT 23000	Allgemeines
MT 23100 - MT 23500	Operationalisierung von Funktionsfähigkeit und Gesundheit
MT 24000	Gesundheit und Funktionsfähigkeit
MT 25000	Gesundheit und Gesundheitsstörungen
MT 26000 - MT 26900	Gesundheit und Person
MT 27000 - MT 28900	Gesundheit und Umfeld
MT 29000	Gesundheit und Lebensqualität
MT 30000	Einzelthemen
MT 31000 - MT 44000	Gesundheitssystem
MT 31000 - MT 31400	Allgemeines
MT 32000	Public Policy, Recht und Governance im Gesundheitssystem
MT 33000	Gesundheitsversorgung und Finanzierung
MT 34000	Personenbezogene Leistungserbringung durch Gesundheitsfachleute
MT 35000	Information im Gesundheitssystem
MT 36000 - MT 36900	Gesundheitsintervention
MT 37000	Produkte, Prozeduren und Technologien im Gesundheitssystem
MT 38000	Human Resources im Gesundheitssystem
MT 39000 - MT 43000	Akteure im Gesundheitssystem
MT 44000	Andere gesellschaftliche Systeme in Interaktion mit dem Gesundheitssystem
MX - MZ	Militärwissenschaft
MX 1000	Zeitschriften
MY	Allgemeines zur Militärwissenschaft
MY 1000 - MY 3300	Bibliografien und Nachschlagewerke
MY 3400 - MY 3500	Geschichte der Militär- und Kriegswissenschaften
MY 4000 - MY 4690	Gesamtdarstellungen zur Militärwissenschaft und zum Militärwesen
